n	AVG
0	47
1	63.3333333333
2	79
3	87.3333333333
4	94
5	102
6	109
7	115.3333333333
8	119.6666666667
9	124
10	129.6666666667
11	133.6666666667
12	136
13	138.6666666667
14	142
15	145.3333333333
16	147.6666666667
17	150.3333333333
18	153.3333333333
19	155
20	156.3333333333
